"sid","r","n_type","heterog","theta","theta1","theta2","C","n","w12","p11","p22","p12","pi01","pi11","pi02","pi12","B"
213,0.5,"Equal","Large",0.5,0.395,0.605,20,30,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
214,0.5,"Equal","Large",0.5,0.395,0.605,20,30,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
215,0.5,"Equal","Large",0.5,0.395,0.605,20,30,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
216,0.5,"Equal","Large",0.5,0.395,0.605,20,30,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
217,0.5,"Equal","Large",0.5,0.395,0.605,30,10,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
218,0.5,"Equal","Large",0.5,0.395,0.605,30,10,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
219,0.5,"Equal","Large",0.5,0.395,0.605,30,10,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
220,0.5,"Equal","Large",0.5,0.395,0.605,30,10,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
221,0.5,"Equal","Large",0.5,0.395,0.605,30,10,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
222,0.5,"Equal","Large",0.5,0.395,0.605,30,10,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
223,0.5,"Equal","Large",0.5,0.395,0.605,30,30,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
224,0.5,"Equal","Large",0.5,0.395,0.605,30,30,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
225,0.5,"Equal","Large",0.5,0.395,0.605,30,30,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
226,0.5,"Equal","Large",0.5,0.395,0.605,30,30,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
227,0.5,"Equal","Large",0.5,0.395,0.605,30,30,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
228,0.5,"Equal","Large",0.5,0.395,0.605,30,30,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
229,0.5,"Equal","Large",0.5,0.395,0.605,50,10,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
230,0.5,"Equal","Large",0.5,0.395,0.605,50,10,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
231,0.5,"Equal","Large",0.5,0.395,0.605,50,10,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
232,0.5,"Equal","Large",0.5,0.395,0.605,50,10,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
233,0.5,"Equal","Large",0.5,0.395,0.605,50,10,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
234,0.5,"Equal","Large",0.5,0.395,0.605,50,10,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
235,0.5,"Equal","Large",0.5,0.395,0.605,50,30,0.2,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
236,0.5,"Equal","Large",0.5,0.395,0.605,50,30,0.2,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
237,0.5,"Equal","Large",0.5,0.395,0.605,50,30,0.5,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
238,0.5,"Equal","Large",0.5,0.395,0.605,50,30,0.5,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
239,0.5,"Equal","Large",0.5,0.395,0.605,50,30,0.8,0.1,0.05,0.025,0.3,0.2134,0.3,0.3745,5000
240,0.5,"Equal","Large",0.5,0.395,0.605,50,30,0.8,0.1,0.05,0.025,0.5,0.4035,0.5,0.5782,5000
241,0.5,"Equal","Large",0.56,0.455,0.665,10,10,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
242,0.5,"Equal","Large",0.56,0.455,0.665,10,10,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
243,0.5,"Equal","Large",0.56,0.455,0.665,10,10,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
244,0.5,"Equal","Large",0.56,0.455,0.665,10,10,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
245,0.5,"Equal","Large",0.56,0.455,0.665,10,10,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
246,0.5,"Equal","Large",0.56,0.455,0.665,10,10,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
247,0.5,"Equal","Large",0.56,0.455,0.665,10,30,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
248,0.5,"Equal","Large",0.56,0.455,0.665,10,30,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
249,0.5,"Equal","Large",0.56,0.455,0.665,10,30,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
250,0.5,"Equal","Large",0.56,0.455,0.665,10,30,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
251,0.5,"Equal","Large",0.56,0.455,0.665,10,30,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
252,0.5,"Equal","Large",0.56,0.455,0.665,10,30,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
253,0.5,"Equal","Large",0.56,0.455,0.665,20,10,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
254,0.5,"Equal","Large",0.56,0.455,0.665,20,10,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
255,0.5,"Equal","Large",0.56,0.455,0.665,20,10,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
256,0.5,"Equal","Large",0.56,0.455,0.665,20,10,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
257,0.5,"Equal","Large",0.56,0.455,0.665,20,10,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
258,0.5,"Equal","Large",0.56,0.455,0.665,20,10,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
259,0.5,"Equal","Large",0.56,0.455,0.665,20,30,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
260,0.5,"Equal","Large",0.56,0.455,0.665,20,30,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
261,0.5,"Equal","Large",0.56,0.455,0.665,20,30,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
262,0.5,"Equal","Large",0.56,0.455,0.665,20,30,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
263,0.5,"Equal","Large",0.56,0.455,0.665,20,30,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
264,0.5,"Equal","Large",0.56,0.455,0.665,20,30,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
265,0.5,"Equal","Large",0.56,0.455,0.665,30,10,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
266,0.5,"Equal","Large",0.56,0.455,0.665,30,10,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
267,0.5,"Equal","Large",0.56,0.455,0.665,30,10,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
268,0.5,"Equal","Large",0.56,0.455,0.665,30,10,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
269,0.5,"Equal","Large",0.56,0.455,0.665,30,10,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
270,0.5,"Equal","Large",0.56,0.455,0.665,30,10,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
271,0.5,"Equal","Large",0.56,0.455,0.665,30,30,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
272,0.5,"Equal","Large",0.56,0.455,0.665,30,30,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
273,0.5,"Equal","Large",0.56,0.455,0.665,30,30,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
274,0.5,"Equal","Large",0.56,0.455,0.665,30,30,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
275,0.5,"Equal","Large",0.56,0.455,0.665,30,30,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
276,0.5,"Equal","Large",0.56,0.455,0.665,30,30,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
277,0.5,"Equal","Large",0.56,0.455,0.665,50,10,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
278,0.5,"Equal","Large",0.56,0.455,0.665,50,10,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
279,0.5,"Equal","Large",0.56,0.455,0.665,50,10,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
280,0.5,"Equal","Large",0.56,0.455,0.665,50,10,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
281,0.5,"Equal","Large",0.56,0.455,0.665,50,10,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
282,0.5,"Equal","Large",0.56,0.455,0.665,50,10,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
283,0.5,"Equal","Large",0.56,0.455,0.665,50,30,0.2,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
284,0.5,"Equal","Large",0.56,0.455,0.665,50,30,0.2,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
285,0.5,"Equal","Large",0.56,0.455,0.665,50,30,0.5,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
286,0.5,"Equal","Large",0.56,0.455,0.665,50,30,0.5,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
287,0.5,"Equal","Large",0.56,0.455,0.665,50,30,0.8,0.1,0.05,0.025,0.3,0.2623,0.3,0.4205,5000
288,0.5,"Equal","Large",0.56,0.455,0.665,50,30,0.8,0.1,0.05,0.025,0.5,0.4588,0.5,0.6242,5000
289,0.5,"Equal","Large",0.64,0.535,0.745,10,10,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
290,0.5,"Equal","Large",0.64,0.535,0.745,10,10,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
291,0.5,"Equal","Large",0.64,0.535,0.745,10,10,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
292,0.5,"Equal","Large",0.64,0.535,0.745,10,10,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
293,0.5,"Equal","Large",0.64,0.535,0.745,10,10,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
294,0.5,"Equal","Large",0.64,0.535,0.745,10,10,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
295,0.5,"Equal","Large",0.64,0.535,0.745,10,30,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
296,0.5,"Equal","Large",0.64,0.535,0.745,10,30,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
297,0.5,"Equal","Large",0.64,0.535,0.745,10,30,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
298,0.5,"Equal","Large",0.64,0.535,0.745,10,30,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
299,0.5,"Equal","Large",0.64,0.535,0.745,10,30,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
300,0.5,"Equal","Large",0.64,0.535,0.745,10,30,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
301,0.5,"Equal","Large",0.64,0.535,0.745,20,10,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
302,0.5,"Equal","Large",0.64,0.535,0.745,20,10,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
303,0.5,"Equal","Large",0.64,0.535,0.745,20,10,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
304,0.5,"Equal","Large",0.64,0.535,0.745,20,10,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
305,0.5,"Equal","Large",0.64,0.535,0.745,20,10,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
306,0.5,"Equal","Large",0.64,0.535,0.745,20,10,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
307,0.5,"Equal","Large",0.64,0.535,0.745,20,30,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
308,0.5,"Equal","Large",0.64,0.535,0.745,20,30,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
309,0.5,"Equal","Large",0.64,0.535,0.745,20,30,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
310,0.5,"Equal","Large",0.64,0.535,0.745,20,30,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
311,0.5,"Equal","Large",0.64,0.535,0.745,20,30,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
312,0.5,"Equal","Large",0.64,0.535,0.745,20,30,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
313,0.5,"Equal","Large",0.64,0.535,0.745,30,10,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
314,0.5,"Equal","Large",0.64,0.535,0.745,30,10,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
315,0.5,"Equal","Large",0.64,0.535,0.745,30,10,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
316,0.5,"Equal","Large",0.64,0.535,0.745,30,10,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
317,0.5,"Equal","Large",0.64,0.535,0.745,30,10,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
318,0.5,"Equal","Large",0.64,0.535,0.745,30,10,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
319,0.5,"Equal","Large",0.64,0.535,0.745,30,30,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
320,0.5,"Equal","Large",0.64,0.535,0.745,30,30,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
321,0.5,"Equal","Large",0.64,0.535,0.745,30,30,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
322,0.5,"Equal","Large",0.64,0.535,0.745,30,30,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
323,0.5,"Equal","Large",0.64,0.535,0.745,30,30,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
324,0.5,"Equal","Large",0.64,0.535,0.745,30,30,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
325,0.5,"Equal","Large",0.64,0.535,0.745,50,10,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
326,0.5,"Equal","Large",0.64,0.535,0.745,50,10,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
327,0.5,"Equal","Large",0.64,0.535,0.745,50,10,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
328,0.5,"Equal","Large",0.64,0.535,0.745,50,10,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
329,0.5,"Equal","Large",0.64,0.535,0.745,50,10,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
330,0.5,"Equal","Large",0.64,0.535,0.745,50,10,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
331,0.5,"Equal","Large",0.64,0.535,0.745,50,30,0.2,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
332,0.5,"Equal","Large",0.64,0.535,0.745,50,30,0.2,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
333,0.5,"Equal","Large",0.64,0.535,0.745,50,30,0.5,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
334,0.5,"Equal","Large",0.64,0.535,0.745,50,30,0.5,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
335,0.5,"Equal","Large",0.64,0.535,0.745,50,30,0.8,0.1,0.05,0.025,0.3,0.3301,0.3,0.4882,5000
336,0.5,"Equal","Large",0.64,0.535,0.745,50,30,0.8,0.1,0.05,0.025,0.5,0.532,0.5,0.6891,5000
337,0.5,"Equal","Large",0.71,0.605,0.815,10,10,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
338,0.5,"Equal","Large",0.71,0.605,0.815,10,10,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
339,0.5,"Equal","Large",0.71,0.605,0.815,10,10,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
340,0.5,"Equal","Large",0.71,0.605,0.815,10,10,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
341,0.5,"Equal","Large",0.71,0.605,0.815,10,10,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
342,0.5,"Equal","Large",0.71,0.605,0.815,10,10,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
343,0.5,"Equal","Large",0.71,0.605,0.815,10,30,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
344,0.5,"Equal","Large",0.71,0.605,0.815,10,30,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
345,0.5,"Equal","Large",0.71,0.605,0.815,10,30,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
346,0.5,"Equal","Large",0.71,0.605,0.815,10,30,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
347,0.5,"Equal","Large",0.71,0.605,0.815,10,30,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
348,0.5,"Equal","Large",0.71,0.605,0.815,10,30,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
349,0.5,"Equal","Large",0.71,0.605,0.815,20,10,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
350,0.5,"Equal","Large",0.71,0.605,0.815,20,10,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
351,0.5,"Equal","Large",0.71,0.605,0.815,20,10,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
352,0.5,"Equal","Large",0.71,0.605,0.815,20,10,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
353,0.5,"Equal","Large",0.71,0.605,0.815,20,10,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
354,0.5,"Equal","Large",0.71,0.605,0.815,20,10,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
355,0.5,"Equal","Large",0.71,0.605,0.815,20,30,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
356,0.5,"Equal","Large",0.71,0.605,0.815,20,30,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
357,0.5,"Equal","Large",0.71,0.605,0.815,20,30,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
358,0.5,"Equal","Large",0.71,0.605,0.815,20,30,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
359,0.5,"Equal","Large",0.71,0.605,0.815,20,30,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
360,0.5,"Equal","Large",0.71,0.605,0.815,20,30,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
361,0.5,"Equal","Large",0.71,0.605,0.815,30,10,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
362,0.5,"Equal","Large",0.71,0.605,0.815,30,10,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
363,0.5,"Equal","Large",0.71,0.605,0.815,30,10,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
364,0.5,"Equal","Large",0.71,0.605,0.815,30,10,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
365,0.5,"Equal","Large",0.71,0.605,0.815,30,10,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
366,0.5,"Equal","Large",0.71,0.605,0.815,30,10,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
367,0.5,"Equal","Large",0.71,0.605,0.815,30,30,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
368,0.5,"Equal","Large",0.71,0.605,0.815,30,30,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
369,0.5,"Equal","Large",0.71,0.605,0.815,30,30,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
370,0.5,"Equal","Large",0.71,0.605,0.815,30,30,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
371,0.5,"Equal","Large",0.71,0.605,0.815,30,30,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
372,0.5,"Equal","Large",0.71,0.605,0.815,30,30,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
373,0.5,"Equal","Large",0.71,0.605,0.815,50,10,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
374,0.5,"Equal","Large",0.71,0.605,0.815,50,10,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
375,0.5,"Equal","Large",0.71,0.605,0.815,50,10,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
376,0.5,"Equal","Large",0.71,0.605,0.815,50,10,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
377,0.5,"Equal","Large",0.71,0.605,0.815,50,10,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
378,0.5,"Equal","Large",0.71,0.605,0.815,50,10,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
379,0.5,"Equal","Large",0.71,0.605,0.815,50,30,0.2,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
380,0.5,"Equal","Large",0.71,0.605,0.815,50,30,0.2,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
381,0.5,"Equal","Large",0.71,0.605,0.815,50,30,0.5,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
382,0.5,"Equal","Large",0.71,0.605,0.815,50,30,0.5,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
383,0.5,"Equal","Large",0.71,0.605,0.815,50,30,0.8,0.1,0.05,0.025,0.3,0.3929,0.3,0.5571,5000
384,0.5,"Equal","Large",0.71,0.605,0.815,50,30,0.8,0.1,0.05,0.025,0.5,0.5965,0.5,0.7515,5000
385,0.5,"Unequal","None",0.5,0.5,0.5,10,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
386,0.5,"Unequal","None",0.5,0.5,0.5,10,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
387,0.5,"Unequal","None",0.5,0.5,0.5,10,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
388,0.5,"Unequal","None",0.5,0.5,0.5,10,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
389,0.5,"Unequal","None",0.5,0.5,0.5,10,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
390,0.5,"Unequal","None",0.5,0.5,0.5,10,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
391,0.5,"Unequal","None",0.5,0.5,0.5,10,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
392,0.5,"Unequal","None",0.5,0.5,0.5,10,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
393,0.5,"Unequal","None",0.5,0.5,0.5,10,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
394,0.5,"Unequal","None",0.5,0.5,0.5,10,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
395,0.5,"Unequal","None",0.5,0.5,0.5,10,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
396,0.5,"Unequal","None",0.5,0.5,0.5,10,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
397,0.5,"Unequal","None",0.5,0.5,0.5,20,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
398,0.5,"Unequal","None",0.5,0.5,0.5,20,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
399,0.5,"Unequal","None",0.5,0.5,0.5,20,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
400,0.5,"Unequal","None",0.5,0.5,0.5,20,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
401,0.5,"Unequal","None",0.5,0.5,0.5,20,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
402,0.5,"Unequal","None",0.5,0.5,0.5,20,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
403,0.5,"Unequal","None",0.5,0.5,0.5,20,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
404,0.5,"Unequal","None",0.5,0.5,0.5,20,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
405,0.5,"Unequal","None",0.5,0.5,0.5,20,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
406,0.5,"Unequal","None",0.5,0.5,0.5,20,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
407,0.5,"Unequal","None",0.5,0.5,0.5,20,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
408,0.5,"Unequal","None",0.5,0.5,0.5,20,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
409,0.5,"Unequal","None",0.5,0.5,0.5,30,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
410,0.5,"Unequal","None",0.5,0.5,0.5,30,10,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
411,0.5,"Unequal","None",0.5,0.5,0.5,30,10,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
412,0.5,"Unequal","None",0.5,0.5,0.5,30,10,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
413,0.5,"Unequal","None",0.5,0.5,0.5,30,10,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
414,0.5,"Unequal","None",0.5,0.5,0.5,30,10,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
415,0.5,"Unequal","None",0.5,0.5,0.5,30,30,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
416,0.5,"Unequal","None",0.5,0.5,0.5,30,30,0.2,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
417,0.5,"Unequal","None",0.5,0.5,0.5,30,30,0.5,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
418,0.5,"Unequal","None",0.5,0.5,0.5,30,30,0.5,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
419,0.5,"Unequal","None",0.5,0.5,0.5,30,30,0.8,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
420,0.5,"Unequal","None",0.5,0.5,0.5,30,30,0.8,0.1,0.05,0.025,0.5,0.5,0.5,0.5,5000
421,0.5,"Unequal","None",0.5,0.5,0.5,50,10,0.2,0.1,0.05,0.025,0.3,0.3,0.3,0.3,5000
